
APEL RESUTLS - Warnings with respect to rules in conflict

Voice # 1 results:

Coloration level: None

semibrevis, 2, 2
semibrevis, 2, 4

minima, 1, 1
minima, 3/2, 5/2
semiminima, 1/2, 3
semibrevis, 2, 5
minima, 1, 6
semibrevis, 2, 8
minima, 1, 9
minima, 1, 10
semibrevis, 2, 12
minima, 1, 13
semibrevis, 2, 15
semibrevis, 3, 18
minima, 1, 19
minima, 1, 20
minima, 1, 21
minima, 3/2, 45/2
fusa, 1/4, 91/4
fusa, 1/4, 23
semiminima, 1/2, 47/2
semiminima, 1/2, 24
semibrevis, 2, 26
minima, 1, 27
semibrevis, 2, 29
semibrevis, 2, 31
semibrevis, 2, 33
minima, 1, 34
minima, 1, 35
semibrevis, 2, 37
minima, 1, 38
minima, 1, 39
minima, 1, 40
semibrevis, 2, 42
minima, 1, 43
minima, 1, 44
minima, 1, 45
minima, 1, 46
semibrevis, 2, 48
minima, 1, 49
minima, 1, 50
minima, 1, 51
minima, 1, 52
semibrevis, 2, 54
minima, 1, 55
semibrevis, 2, 57
semibrevis, 2, 59
semibrevis, 2, 61
minima, 1, 62
semibrevis, 2, 64
minima, 1, 65
minima, 1, 66
semibrevis, 2, 68
minima, 1, 69
semibrevis, 2, 71
semibrevis, 2, 73
semibrevis, 2, 75
minima, 3/2, 153/2
semiminima, 1/2, 77
semibrevis, 2, 79

semibrevis, 2, 2
semibrevis, 2, 4

minima, 1, 1
minima, 1, 2
semibrevis, 2, 4
minima, 1, 5
semibrevis, 2, 7
semibrevis, 2, 9
minima, 1, 10
minima, 1, 11
minima, 1, 12
semibrevis, 2, 14
minima, 1, 15
minima, 1, 16
minima, 1, 17
semibrevis, 2, 19
semibrevis, 2, 21
semibrevis, 2, 23
semibrevis, 3, 26
minima, 1, 27
minima, 3/2, 57/2
semiminima, 1/2, 29
semibrevis, 2, 31
semibrevis, 2, 33
semibrevis, 2, 35
semibrevis, 3, 38
minima, 1, 39
semiminima, 1/2, 79/2
minima, 1, 81/2
semibrevis, 3, 87/2
minima, 1, 89/2
minima, 1, 91/2
semiminima, 1/2, 46
semiminima, 1/2, 93/2
semibrevis, 2, 97/2
minima, 1, 99/2
semibrevis, 2, 103/2
minima, 1, 105/2
semibrevis, 2, 109/2
semibrevis, 2, 113/2
semibrevis, 2, 117/2
semibrevis, 2, 121/2
minima, 1, 123/2
semibrevis, 2, 127/2
