
APEL RESUTLS - Warnings with respect to rules in conflict

Voice # 1 results:

brevis
semibrevis
Coloration level: B

semibrevis, 2, 2

minima, 1, 1
semibrevis, 2, 3
semibrevis, 2, 5
semibrevis, 3, 8
semiminima, 1/2, 17/2
semiminima, 1/2, 9
semibrevis, 2, 11
semibrevis, 2, 13
semibrevis, 2, 15
semibrevis, 2, 17
semibrevis, 2, 19
minima, 1, 20
minima, 1, 21
semibrevis, 2, 23
minima, 1, 24
semibrevis, 2, 26
minima, 1, 27
semibrevis, 2, 29
semibrevis, 2, 31
semibrevis, 2, 33
semibrevis, 2, 35
semibrevis, 3, 38
minima, 1, 39
semibrevis, 2, 41

semibrevis, 2, 2
minima, 1, 3
minima, 1, 4

semiminima, 1/2, 1/2
semiminima, 1/2, 1
semiminima, 1/2, 3/2
minima, 3/2, 3
semiminima, 1/2, 7/2
minima, 1, 9/2
minima, 3/2, 6
semiminima, 1/2, 13/2
minima, 1, 15/2
minima, 1, 17/2
minima, 3/2, 10
semiminima, 1/2, 21/2
semibrevis, 2, 25/2
minima, 1, 27/2
semibrevis, 2, 31/2
semibrevis, 2, 35/2
semibrevis, 2, 39/2
semibrevis, 2, 43/2
semibrevis, 2, 47/2
semibrevis, 2, 51/2
semibrevis, 3, 57/2
minima, 1, 59/2
semibrevis, 2, 63/2
semibrevis, 2, 67/2
minima, 1, 69/2
minima, 1, 71/2
semibrevis, 2, 75/2
minima, 1, 77/2
minima, 3/2, 40
semiminima, 1/2, 81/2
semibrevis, 2, 85/2
minima, 1, 87/2
semibrevis, 3, 93/2
minima, 1, 95/2
minima, 1, 97/2
minima, 1, 99/2
semibrevis, 2, 103/2
semibrevis, 2, 107/2
semibrevis, 2, 111/2
semibrevis, 2, 115/2
semibrevis, 3, 121/2
minima, 1, 123/2

minima, 1, 1
minima, 1, 2
semibrevis, 2, 4
semibrevis, 2, 6

minima, 1, 1
minima, 3/2, 5/2
semiminima, 1/2, 3
semibrevis, 2, 5
semibrevis, 2, 7
minima, 1, 8
semibrevis, 2, 10
semibrevis, 2, 12
minima, 1, 13
semibrevis, 2, 15
semibrevis, 2, 17
semibrevis, 2, 19
semibrevis, 2, 21
semibrevis, 3, 24
minima, 1, 25
semibrevis, 2, 27
minima, 1, 28
minima, 3/2, 59/2
semiminima, 1/2, 30
semibrevis, 2, 32
minima, 1, 33
minima, 1, 34
semiminima, 1/2, 69/2
semiminima, 1/2, 35
semibrevis, 2, 37
semibrevis, 2, 39
minima, 1, 40
semibrevis, 2, 42
minima, 1, 43
minima, 1, 44
minima, 1, 45
semibrevis, 2, 47
semibrevis, 2, 49
minima, 1, 50
minima, 3/2, 103/2
semiminima, 1/2, 52
semibrevis, 2, 54
minima, 1, 55

brevis, 4, 4
semibrevis, 2, 6
semibrevis, 2, 8
brevis, 4, 12

semibrevis, 2, 2
semibrevis, 2, 4

semiminima, 1/2, 1/2
semiminima, 1/2, 1
semibrevis, 2, 3
minima, 1, 4
