Piece,Voice,Id,Note Shape,Measure
Duf16002,1,m-57,minima,2
Duf16002,1,m-80,minima,3
Duf16002,1,m-101,minima,4
Duf16002,1,m-149,minima,7
Duf16002,1,m-190,minima,9
Duf16002,1,m-194,minima,9
Duf16002,1,m-238,minima,11
Duf16002,1,m-260,minima,12
Duf16002,1,m-345,minima,16
Duf16002,1,m-381,minima,18
Duf16002,1,m-407,minima,19
Duf16002,1,m-431,minima,20
Duf16002,1,m-527,minima,25
Duf16002,2,m-86,minima,3
Duf16002,2,m-122,minima,5
Duf16002,2,m-155,minima,7
Duf16002,2,m-198,minima,9
Duf16002,2,m-201,minima,9
Duf16002,2,m-246,minima,11
Duf16002,2,m-265,minima,12
Duf16002,2,m-290,minima,13
Duf16002,2,m-330,minima,15
Duf16002,2,m-369,minima,17
Duf16002,2,m-416,minima,19
Duf16002,2,m-457,minima,21
Duf16002,2,m-510,minima,24
Duf16002,2,m-532,minima,25
Duf16002,3,m-94,minima,3
Duf16002,3,m-112,minima,4
Duf16002,3,m-164,minima,7
Duf16002,3,m-209,minima,9
Duf16002,3,m-233,minima,10
Duf16002,3,m-254,minima,11
Duf16002,3,m-272,minima,12
Duf16002,3,m-317,minima,14
Duf16002,3,m-339,minima,15
Duf16002,3,m-422,minima,19
Duf16002,3,m-446,minima,20
Duf16002,3,m-499,minima,23
Duf16002,3,m-540,minima,25
Duf22518,1,m-44,minima,1
Duf22518,1,m-60,minima,2
Duf22518,1,m-77,minima,3
Duf22518,1,m-80,minima,3
Duf22518,1,m-100,minima,4
Duf22518,1,m-117,minima,5
Duf22518,1,m-137,minima,6
Duf22518,1,m-182,minima,8
Duf22518,1,m-289,minima,13
Duf22518,1,m-308,minima,14
Duf22518,2,m-143,minima,6
Duf22518,2,m-187,minima,8
Duf22518,2,m-273,minima,12
Duf22518,3,m-73,minima,2
Duf22518,3,m-92,minima,3
Duf22518,3,m-172,minima,7
Duf22518,3,m-196,minima,8
Duf22518,3,m-233,minima,10
Duf22518,3,m-322,minima,14
Duf3007.2,1,m-614,semibrevis,21
Duf3007.2,2,m-101,semibrevis,2
Duf3007.2,2,m-698,semibrevis,24
Duf3007.2,2,m-844,semibrevis,30
Duf3007.2,2,m-891,semibrevis,32
Duf3007.2,3,m-104,semibrevis,2
Duf3007.2,3,m-385,semibrevis,11
Duf3007.2,3,m-704,semibrevis,24
Duf3007.2,3,m-805,semibrevis,28
Duf3007.2,3,m-899,semibrevis,32
Duf3025,1,m-44,semibrevis,1
Duf3025,1,m-117,semibrevis,3
Duf3025,1,m-156,semibrevis,4
Duf3025,1,m-405,semibrevis,12
Duf3025,1,m-565,semibrevis,17
Duf3025,1,m-640,semibrevis,19
Duf3025,1,m-883,semibrevis,28
Duf3025,1,m-1133,semibrevis,36
Duf3025,2,m-172,semibrevis,4
Duf3025,2,m-205,semibrevis,5
Duf3025,2,m-261,semibrevis,7
Duf3025,2,m-304,semibrevis,9
Duf3025,2,m-422,semibrevis,12
Duf3025,2,m-497,semibrevis,14
Duf3025,2,m-657,semibrevis,19
Duf3025,2,m-697,semibrevis,20
Duf3025,2,m-922,semibrevis,29
Duf3025,2,m-1271,semibrevis,42
Duf3025,3,m-95,semibrevis,2
Duf3025,3,m-176,semibrevis,4
Duf3025,3,m-209,semibrevis,5
Duf3025,3,m-265,semibrevis,7
Duf3025,3,m-310,semibrevis,9
Duf3025,3,m-503,semibrevis,14
Duf3025,3,m-661,semibrevis,19
Duf3025,3,m-701,semibrevis,20
Duf3025,3,m-810,semibrevis,24
Duf3025,3,m-1219,semibrevis,39
Duf3025,3,m-1294,semibrevis,43
Iv001,1,m-253,minima,9
Iv001,1,m-388,minima,16
Iv001,1,m-729,minima,31
Iv001,1,m-851,minima,36
Iv001,1,m-885,minima,37
Iv001,1,m-1345,minima,54
Iv001,1,m-1436,minima,57
Iv001,1,m-1696,minima,66
Iv001,2,m-260,brevis,9
Iv001,2,m-314,brevis,12
Iv001,2,m-454,brevis,18
Iv001,2,m-509,brevis,21
Iv001,2,m-573,brevis,24
Iv001,2,m-866,brevis,36
Iv002,1,m-415,brevis,14
Iv002,1,m-786,brevis,28
